Device,Angle,Value
DSLR,Angle 1,311
DSLR,Angle 1,397
DSLR,Angle 1,854
DSLR,Angle 1,160
DSLR,Angle 1,208
DSLR,Angle 1,86
DSLR,Angle 1,31
DSLR,Angle 1,110
DSLR,Angle 1,87
DSLR,Angle 1,214
DSLR,Angle 2,265
DSLR,Angle 2,401
DSLR,Angle 2,289
DSLR,Angle 2,170
DSLR,Angle 2,280
DSLR,Angle 2,543
DSLR,Angle 2,25
DSLR,Angle 2,131
DSLR,Angle 2,89
DSLR,Angle 2,167
DSLR,Angle 3,368
DSLR,Angle 3,458
DSLR,Angle 3,866
DSLR,Angle 3,154
DSLR,Angle 3,218
DSLR,Angle 3,549
DSLR,Angle 3,16
DSLR,Angle 3,109
DSLR,Angle 3,61
DSLR,Angle 3,192
GoPro,Angle 1,230
GoPro,Angle 1,278
GoPro,Angle 1,491
GoPro,Angle 1,141
GoPro,Angle 1,189
GoPro,Angle 1,29
GoPro,Angle 1,31
GoPro,Angle 1,94
GoPro,Angle 1,50
GoPro,Angle 1,142
GoPro,Angle 2,123
GoPro,Angle 2,157
GoPro,Angle 2,284
GoPro,Angle 2,126
GoPro,Angle 2,187
GoPro,Angle 2,239
GoPro,Angle 2,20
GoPro,Angle 2,70
GoPro,Angle 2,59
GoPro,Angle 2,112
GoPro,Angle 3,145
GoPro,Angle 3,178
GoPro,Angle 3,168
GoPro,Angle 3,302
GoPro,Angle 3,168
GoPro,Angle 3,119
GoPro,Angle 3,19
GoPro,Angle 3,57
GoPro,Angle 3,40
GoPro,Angle 3,164
PP,Angle 1,342
PP,Angle 1,377
PP,Angle 1,632
PP,Angle 1,231
PP,Angle 1,286
PP,Angle 1,1113
PP,Angle 1,45
PP,Angle 1,117
PP,Angle 1,100
PP,Angle 1,219
PP,Angle 2,370
PP,Angle 2,449
PP,Angle 2,392
PP,Angle 2,164
PP,Angle 2,204
PP,Angle 2,783
PP,Angle 2,28
PP,Angle 2,99
PP,Angle 2,57
PP,Angle 2,209
PP,Angle 3,342
PP,Angle 3,356
PP,Angle 3,590
PP,Angle 3,322
PP,Angle 3,230
PP,Angle 3,315
PP,Angle 3,34
PP,Angle 3,117
PP,Angle 3,63
PP,Angle 3,159
Human,Human,693
Human,Human,793
Human,Human,1965
Human,Human,329
Human,Human,588
Human,Human,2424
Human,Human,64
Human,Human,230
Human,Human,229
Human,Human,489
